French,English
un,A
à,has
en,in
le,THE
et,And
être,be
de,of
avoir,to have
que,that
ne,born
dans,In
ce,This
il,he
qui,Who
pas,not
pour,For
sur,on
se,se
son,her
plus,more
pouvoir,power
par,by
je,I
avec,with
tout,All
faire,TO DO
nous,We
mettre,put
autre,other
on,we
mais,but
leur,their
comme,as
ou,Or
si,if
avant,Before
y,Y
dire,say
elle,She
devoir,duty
donner,give
deux,two
même,even
prendre,take
où,Or
aussi,Also
celui,the one
bien,GOOD
cela,that
fois,times
vous,YOU
encore,Again
vouloir,to want
nouveau,new
aller,go
entre,between
premier,first
aucun,none
déjà,Already
grand,big
mon,My
me,me
moins,less
quelque,some
lui,him
temps,time
très,very
savoir,know
falloir,to need
voir,see
notre,OUR
sans,without
dont,of which
raison,reason
monde,world
non,No
monsieur,Sir
an,year
jour,day
trouver,find
demander,ask
alors,SO
après,After
venir,come
personne,person
rendre,give back
part,go
dernier,last
lequel,which
pendant,during
passer,pass
peu,little
depuis,Since
suite,following
bon,Good
comprendre,to understand
rester,stay
point,point
ainsi,Thus
heure,hour
année,year
toujours,always
tenir,hold
porter,to carry
parler,talk
seul,alone
montrer,to show
là,there
certain,certain
fort,strong
tu,you
continuer,continue
pays,country
fin,END
penser,think
lieu,place
partie,part
quand,When
trois,three
contre,against
sous,below
côté,side
ensemble,together
chose,thing
enfant,child
suivre,follow
cause,cause
place,place
seulement,only
moi,Me
vie,life
politique,policy
jusque,until
croire,believe
homme,man
cas,case
connaître,to know
commencer,to start
compter,count
fait,do
tel,such
petit,little
question,question
donc,SO
quel,what
général,general
entendre,hear
beaucoup,a lot
chaque,each
droit,right
moment,moment
travail,work
femme,women
attendre,to wait for
remettre,to put back
jeune,young
permettre,allow
occuper,to occupy
gouvernement,government
eux,them
appeler,to call
devenir,become
partir,leave
décider,decide
soit,either
ici,here
rien,Nothing
plan,plan
cours,course
nom,name
famille,family
effet,effect
affaire,affair
arriver,arrive
servir,serve
mois,month
jamais,Never
car,because
possible,possible
tant,so much
vers,towards
besoin,need
revenir,to come back
sembler,seem
moyen,AVERAGE
groupe,band
problème,issue
rapport,report
dès,of the
peut-être,maybe
maintenant,NOW
pourquoi,Why
meilleur,best
vue,view
trop,too much
laisser,to leave 
ordre,order
devant,in front
recevoir,receive
répondre,answer
long,long
service,service
ministre,minister
vivre,live
chez,at the house of
te,you
rappeler,remind
face,face
accepter,accept
agir,to act
simple,simple
présenter,to present
votre,your
important,important
présent,here
mieux,better
plusieurs,several
jouer,play
mot,word
reconnaître,recognize
poser,to set down
situation,situation
offrir,to offer
près,close
force,strength
national,national
projet,project
ni,neither
choisir,choose
toucher,to touch
train,train
aujourd'hui,Today
comment,how
puis,Then
gens,people
propre,own
grâce,grace
idée,idea
surtout,Above all
région,region
aimer,to like
sens,sense
selon,according to
semaine,week
également,also
ci,this
retrouver,find
nombre,number
perdre,lose
français,French
façon,way
quatre,four
compte,account
considérer,consider
expliquer,explain
ouvrir,open
gagner,earn
exemple,example
lorsque,when
économique,economic
mesure,measure
histoire,history
ville,city
ensuite,Next
guerre,war
loi,law
président,president
haut,high
sûr,on
refuser,refuse
plutôt,instead
bureau,desk
exister,exist
quant,as to
mort,dead
mal,wrong
mauvais,bad
réussir,succeed
marché,walk
condition,condition
lire,read
changer,to change
oui,Yes
public,audience
humain,human
international,international
cinq,five
système,system
travailler,to work
souvent,often
vrai,TRUE
représenter,represent
madame,Mrs
société,Company
jeu,game
quoi,What
entreprise,business
coup,cut
difficile,difficult
or,gold
assurer,ensure
essayer,to try
juste,just
étranger,stranger
social,social
million,million
manière,manner
sortir,to go out
empêcher,to prevent
terme,term
longtemps,a long time
reprendre,to resume
prix,price
intérêt,interest
mener,carry out
information,information
courant,fluent
appartenir,belong
liberté,freedom
assez,enough
détail,detail
chacun,each
concerner,concern
maison,House
d'abord,First of all
risquer,risk
niveau,level
rencontrer,meet
ton,your
apprendre,learn
créer,create
état,state
obtenir,get
œuvre,artwork
chercher,seek
entrer,enter
proposer,to propose
clair,clear
programme,program
loin,far
ligne,line
apporter,bring
libre,free
utiliser,to use
atteindre,reach
tenter,to attempt
tête,head
enfin,Finally
différent,different
sorte,sort
cependant,However
tard,late
importer,import
action,action
relation,relationship
sujet,subject
livre,book
ajouter,add
ailleurs,elsewhere
vraiment,Really
recherche,research
reste,stay
début,beginning
présence,presence
doute,doubt
produire,produce
préparer,prepare
forme,shape
décision,decision
nombreux,many
dix,ten
produit,product
américain,American
rôle,role
relever,raise
peuple,people
second,second
minute,minute
prochain,next
autant,as much
écrire,to write
position,position
développement,development
défendre,defend
chef,chief
particulier,particular
effort,effort
parmi,among
membre,member
tirer,to pull
économie,economy
beau,beautiful
plein,full
juger,judge
éviter,avoid
ancien,ancient
personnel,staff
titre,title
soir,evening
parti,left
unique,unique
souhaiter,to wish
afin,in order to
objet,object
malgré,despite
période,period
engager,engage
peine,penalty
parfois,Sometimes
lors,during
sérieux,serious
aider,help
réaliser,realize
terminer,to end
base,base
espérer,hope
main,hand
voix,voice
arrêter,Stop
retour,back
prêt,ready
occasion,occasion
gros,fat
regarder,look
plupart,mostly
deuxième,second
résultat,result
député,deputy
terre,earth
valoir,to be worth
dollar,dollar
intérieur,interior
écouter,listen
confiance,trust
choix,choice
prévoir,to expect
page,page
notamment,notably
type,kind
but,aim
chance,chance
grave,severe
prise,socket
européen,European
étude,study
matin,Morning
remplacer,replace
avancer,move forward
six,six
nécessaire,necessary
activité,activity
valeur,value
principe,principle
entier,entire
réponse,answer
aide,help
marquer,to mark
élever,raise
pourtant,Yet
commission,commission
cesser,cease
poursuivre,pursue
maintenir,maintain
principal,main
exprimer,express
ami,friend
bas,down
époque,era
moitié,half
avenir,future
argent,money
imposer,impose
mise,putting
œil,eye
eau,water
sauf,except
école,school
sécurité,security
milieu,medium
presque,almost
attention,attention
cadre,frame
lettre,letter
mouvement,movement
former,form
conduire,to drive
règle,ruler
poste,job
demande,request
futur,future
acte,act
disparaître,disappear
priver,deprive
constituer,constitute
centre,center
milliard,billion
lier,bind
obliger,to obligate
accord,agreement
craindre,to fear
âge,age
déclarer,to announce
oublier,forget
propos,about
passé,pass
quitter,to leave
bout,end 
population,population
troisième,third
responsable,responsible
route,road
tôt,early
lancer,throw
toi,You
fonction,function
emploi,job
objectif,objective
limite,limit
journal,newspaper
annoncer,announce
lui-même,itself
tour,round
voilà,There
volonté,will
envoyer,send
paraître,appear
puisque,since
établir,establish
changement,change
garder,keep
partager,share
interdire,to forbid
finir,finish
placer,to place
réalité,reality
payer,pay
esprit,spirit
domaine,domain
diriger,direct
sentir,feel
nature,nature
régime,diet
charger,load
noter,to note
parent,parent
tomber,to fall
départ,departure
mondial,global
court,short
disposer,arrange
parole,speech
fond,bottom
public,audience
entraîner,lead
faux,fake
genre,gender
communauté,community
intéresser,to interest
c'est-à-dire,that's to say
retenir,retain
matière,matter
sein,breast
difficulté,difficulty
parvenir,achieve
corps,body
appel,call
cœur,heart
père,father
organisation,organization
secteur,sector
noir,black
événement,event
double,double
unité,unit
nation,nation
conseil,advice
soutenir,sustain
paix,peace
convaincre,convince
partout,everywhere
direction,direction
manquer,miss
actuel,current
opposer,oppose
nuit,night
journée,daytime
d'ailleurs,Besides
traiter,to treat
indiquer,indicate
signifier,mean
technique,technical
rapidement,quickly
autour,around
réduire,reduce
d'après,according to
tuer,kill
riche,rich
préférer,prefer
rue,Street
bref,Short
violence,violence
siècle,century
article,article
nommer,appoint
qualité,quality
gauche,LEFT
solution,solution
voie,way
durer,last
canadien,canadian
erreur,error
livrer,deliver
capable,able
simplement,simply
souvenir,memory
conséquence,result
large,wide
auprès,with
succès,success
élément,element
local,local
contraire,opposite
inviter,invite
extérieur,outside
pied,foot
mission,assignment
été,summer
fille,girl
répéter,repeat
texte,text
débat,debate
chambre,bedroom
création,creation
prouver,prove
acheter,buy
profiter,enjoy
production,production
ignorer,ignore
directeur,director
santé,health
justice,justice
précis,accurate
fixer,to stare
mère,mother
croissance,growth
risque,risk
souffrir,suffer
estimer,to estimate
endroit,place
comité,committee
impossible,impossible
arme,armed
véritable,true
amener,to bring
viser,to aim
retirer,withdraw
preuve,evidence
image,picture
date,date
travers,through
contrôle,control
total,total
conserver,keep
réel,real
campagne,campaign
naître,be born
énorme,huge
tourner,turn
participer,participate
vieux,old
accorder,to agree 
respecter,respect
passage,passage
essentiel,essential
adopter,adopt
rapide,fast
environ,approximately
expérience,experience
admettre,admit
découvrir,discover
subir,undergo
assister,to assist
sénateur,senator
dépasser,exceed
affirmer,affirm
couvrir,cover
financier,financial
processus,process
militaire,military
frais,costs
soumettre,submit
industrie,industry
apparaître,appear
responsabilité,responsibility
réserver,to book
porte,door
victime,victim
territoire,territory
pauvre,poor
taux,rate
posséder,possess
matériel,material
cent,hundred
constater,notice
prononcer,pronounce
organiser,organize
blanc,white
origine,origin
vendre,sell
vite,quickly
signe,sign
dangereux,dangerous
déplacer,move
importance,importance
suffire,suffice
espoir,hope
davantage,any further
langue,language
énergie,energy
réseau,network
mourir,die
faible,weak
employer,to employ
saisir,to input
spécial,special
accompagner,to accompany
actuellement,Currently
union,union
supposer,assume
possibilité,possibility
ceci,this
exiger,require
intervenir,to intervene
fils,son
d'accord,All right
fournir,provide
différence,difference
protéger,protect
abandonner,give up
discuter,discuss
battre,beat
pire,worse 
adresser,address
préciser,to specify
intervention,intervention
avis,notice
demeurer,remain
chiffre,figure
consacrer,devote
attirer,attract
divers,miscellaneous
appliquer,apply
frapper,hit
peur,fear
parlement,parliament
remplir,fill
forcer,force
lutte,struggle
naturel,natural
air,air
auteur,author
fermer,close
heureux,happy
crise,crisis
numéro,number
résoudre,solve
publier,publish
opération,operation
toutefois,however
pousser,push
quelqu'un,someone
discours,speech
banque,bank
instant,moment
reposer,to rest
opinion,opinion
classe,class
particulièrement,particularly
commun,common
compagnie,company
intention,intention
autorité,authority
anglais,English
échange,exchange
feu,fire
satisfaire,satisfy
observer,observe
capacité,ability
désigner,designate
dépendre,depend
neuf,nine
construire,build
scène,scene
durant,during
secret,secret
plaisir,pleasure
message,message
proposition,proposal
combien,How much
dossier,case
absence,absence
cher,Dear
plaire,to please
derrière,behind
connaissance,awareness
nul,null
entrée,entrance
signer,sign
révéler,reveal
couper,cut
salle,room
immédiatement,immediately
équipe,team
situer,locate
souligner,emphasize
source,source
pièce,piece
crime,crime
précédent,previous
installer,install
facile,easy
augmenter,increase
respect,respect
impression,impression
octobre,october
médecin,doctor
fédéral,federal
police,police
coût,cost
réunir,reunite
contrat,CONTRACT
normal,normal
attitude,attitude
série,series
formation,training
lever,lift
proche,close
direct,direct
faute,mistake
figurer,appear
pratique,practical
finalement,Ultimately
allemand,German
pression,pressure
imaginer,imagine
champ,field
film,movie
charge,charge
envisager,consider
accès,access
ressource,resource
monter,to go up
promettre,to promise
motion,motion
concentrer,focus
commune,commune
composer,compose
chemin,path
zone,area
province,province
élection,election
exactement,Exactly
conflit,conflict
hors,out
enquête,investigation
terrain,ground
mars,March
tellement,such
usage,use
demain,tomorrow
hier,yesterday
confier,entrust
remarquer,to remark
égard,regard
supérieur,superior
espace,space
condamner,condemn
capital,capital
lien,link
voiture,car
discussion,discussion
huit,eight
justifier,justify
agent,agent
sentiment,feeling
tâche,stain
directement,directly
limiter,restrict
raconter,tell
décembre,December
développer,develop
honorable,honorable
contact,contact
conclure,conclude
euh,uh
ouvert,open
investissement,investment
insister,insist
fruit,fruit
avantage,advantage
historique,historical
probablement,probably
voyage,journey
sept,seven
marche,walk
garde,guard
commercial,commercial
critique,critical
ministère,ministry
baisser,lower
vérité,truth
culture,culture
cacher,hide
prêter,lend
définir,define
somme,sum
exposer,expose
progrès,progress
secrétaire,secretary
mer,sea
rapporter,report
appuyer,press
client,customer
rentrer,to return
mémoire,memory
caractère,character
détruire,destroy
civil,civil
liste,list
juin,June
danger,hazard
complexe,complex
commerce,trade
transport,transportation
nécessité,need
institution,institution
défense,defense
janvier,January
échapper,escape
négociation,negotiation
attente,waiting
mai,may
septembre,september
environnement,environment
séparer,to separate
réaction,reaction
franc,franc
positif,positive
scientifique,scientist
papier,paper
expression,expression
disposition,arrangement
indépendant,independent
carte,map 
association,association
régler,adjust
modèle,model
protection,protection
étudier,to study
déterminer,determine
budget,budget
fonder,found
structure,structure
commander,order
exercer,exercise
amour,love
manifester,manifest
menacer,threaten
conseiller,advise
complet,complete
opposition,opposition
maladie,disease
outre,besides
tandis,while
construction,construction
bande,band
signal,signal
réunion,meeting
réforme,reform
rejeter,dismiss
novembre,november
fonds,funds
coûter,cost
voisin,neighbor
presse,press
rouge,red
majorité,majority
autoriser,to allow
effectuer,perform
reprise,reprise
central,central
procédure,procedure
faveur,favor
éducation,education
officiel,official
document,document
bord,edge
retourner,return
professionnel,professional
aspect,appearance